title,arabic,transliteration,translation_en,translation_bn,category,tags,reference,benefits
Ayatul Kursi,اللَّهُ لَا إِلَٰهَ إِلَّا هُوَ الْحَيُّ الْقَيُّومُ ۚ لَا تَأْخُذُهُ سِنَةٌ وَلَا نَوْمٌ ۚ لَّهُ مَا فِي السَّمَاوَاتِ وَمَا فِي الْأَرْضِ ۗ مَن ذَا الَّذِي يَشْفَعُ عِندَهُ إِلَّا بِإِذْنِهِ ۚ يَعْلَمُ مَا بَيْنَ أَيْدِيهِمْ وَمَا خَلْفَهُمْ ۖ وَلَا يُحِيطُونَ بِشَيْءٍ مِّنْ عِلْمِهِ إِلَّا بِمَا شَاءَ ۚ وَسِعَ كُرْسِيُّهُ السَّمَاوَاتِ وَالْأَرْضَ ۖ وَلَا يَئُودُهُ حِفْظُهُمَا ۚ وَهُوَ الْعَلِيُّ الْعَظِيمُ,Allahu la ilaha illa Huwa Al-Hayyul-Qayyum. La ta'khudhuhu sinatun wa la nawm. Lahu ma fis-samawati wa ma fil-ard. Man dhal-ladhi yashfa'u 'indahu illa bi-idhnih. Ya'lamu ma bayna aydihim wa ma khalfahum. Wa la yuhituna bi-shay'im-min 'ilmihi illa bima sha'a. Wasi'a Kursiyyuhus-samawati wal-ard. Wa la ya'uduhu hifdhuhuma. Wa Huwal-'Aliyyul-'Adhim.,"Allah - there is no deity except Him, the Ever-Living, the Sustainer of existence. Neither drowsiness overtakes Him nor sleep. To Him belongs whatever is in the heavens and whatever is on the earth. Who is it that can intercede with Him except by His permission? He knows what is before them and what will be after them, and they encompass not a thing of His knowledge except for what He wills. His Kursi extends over the heavens and the earth, and their preservation tires Him not. And He is the Most High, the Most Great.","আল্লাহ, তিনি ছাড়া কোন উপাস্য নেই, তিনি চিরঞ্জীব, সর্বসত্তার ধারক। তাঁকে তন্দ্রা ও নিদ্রা স্পর্শ করে না। আসমান ও যমীনে যা কিছু আছে সব তাঁরই। কে আছে এমন, যে তাঁর অনুমতি ছাড়া তাঁর কাছে সুপারিশ করবে? তিনি জানেন যা তাদের সামনে আছে এবং যা তাদের পেছনে আছে। তাঁর জ্ঞানের কিছুই তারা আয়ত্ত করতে পারে না, তবে যতটুকু তিনি ইচ্ছা করেন। তাঁর কুরসী আসমান ও যমীন পরিব্যাপ্ত করে আছে এবং এ দুটোর রক্ষণাবেক্ষণ তাঁর জন্য বোঝা নয়। তিনি সর্বোচ্চ, মহান।",Quran,protection|morning|evening,Surah Al-Baqarah 2:255,"Protection from evil, recite after every prayer"
Surah Al-Ikhlas,قُلْ هُوَ اللَّهُ أَحَدٌ اللَّهُ الصَّمَدُ لَمْ يَلِدْ وَلَمْ يُولَدْ وَلَمْ يَكُن لَّهُ كُفُوًا أَحَدٌ,Qul Huwa Allahu Ahad. Allahu Samad. Lam yalid wa lam yulad. Wa lam yakun lahu kufuwan ahad.,"Say: He is Allah, the One and Only. Allah, the Eternal, Absolute. He begets not, nor is He begotten. And there is none like unto Him.","বলুন, তিনি আল্লাহ, এক-অদ্বিতীয়। আল্লাহ অমুখাপেক্ষী। তিনি কাউকে জন্ম দেননি এবং কেউ তাঁকে জন্ম দেয়নি। এবং তাঁর সমতুল্য কেউ নেই।",Quran,tawheed|morning|evening,Surah Al-Ikhlas 112:1-4,"Equals one-third of the Quran, recite 3 times after prayers"
Surah Al-Falaq,قُلْ أَعُوذُ بِرَبِّ الْفَلَقِ مِن شَرِّ مَا خَلَقَ وَمِن شَرِّ غَاسِقٍ إِذَا وَقَبَ وَمِن شَرِّ النَّفَّاثَاتِ فِي الْعُقَدِ وَمِن شَرِّ حَاسِدٍ إِذَا حَسَدَ,Qul a'udhu bi-Rabbil-falaq. Min sharri ma khalaq. Wa min sharri ghasiqin idha waqab. Wa min sharrin-naffathati fil-'uqad. Wa min sharri hasidin idha hasad.,"Say: I seek refuge with the Lord of the Dawn, from the mischief of created things; from the mischief of Darkness as it overspreads; from the mischief of those who practice secret arts; and from the mischief of the envious one as he practices envy.","বলুন, আমি আশ্রয় চাই প্রভাতের রবের, তিনি যা সৃষ্টি করেছেন তার অনিষ্ট থেকে, এবং অন্ধকার যখন ঘনিয়ে আসে তার অনিষ্ট থেকে, এবং গিরায় ফুঁ দেয়া জাদুকরদের অনিষ্ট থেকে, এবং হিংসুকের অনিষ্ট থেকে যখন সে হিংসা করে।",Quran,protection|morning|evening,Surah Al-Falaq 113:1-5,"Protection from evil eye and black magic, recite 3 times morning and evening"
Surah An-Nas,قُلْ أَعُوذُ بِرَبِّ النَّاسِ مَلِكِ النَّاسِ إِلَٰهِ النَّاسِ مِن شَرِّ الْوَسْوَاسِ الْخَنَّاسِ الَّذِي يُوَسْوِسُ فِي صُدُورِ النَّاسِ مِنَ الْجِنَّةِ وَالنَّاسِ,Qul a'udhu bi-Rabbin-nas. Malikin-nas. Ilahin-nas. Min sharril-waswasil-khannas. Alladhi yuwaswisu fi sudoorin-nas. Minal-jinnati wan-nas.,"Say: I seek refuge with the Lord of Mankind, the King of Mankind, the God of Mankind, from the mischief of the Whisperer who withdraws, who whispers in the hearts of Mankind, among Jinns and among Men.","বলুন, আমি আশ্রয় চাই মানুষের রবের, মানুষের মালিকের, মানুষের ইলাহের, কুমন্ত্রণাদাতা, যে আত্মগোপনকারী, যে কুমন্ত্রণা দেয় মানুষের অন্তরে, জিন ও মানুষের মধ্য থেকে।",Quran,protection|morning|evening,Surah An-Nas 114:1-6,"Protection from evil whispers and waswasa, recite 3 times morning and evening"
Dua-e-Qunoot,اللَّهُمَّ إِنَّا نَسْتَعِينُكَ وَنَسْتَغْفِرُكَ وَنُؤْمِنُ بِكَ وَنَتَوَكَّلُ عَلَيْكَ وَنُثْنِي عَلَيْكَ الْخَيْرَ كُلَّهُ نَشْكُرُكَ وَلَا نَكْفُرُكَ وَنَخْلَعُ وَنَتْرُكُ مَنْ يَفْجُرُكَ اللَّهُمَّ إِيَّاكَ نَعْبُدُ وَلَكَ نُصَلِّي وَنَسْجُدُ وَإِلَيْكَ نَسْعَى وَنَحْفِدُ نَرْجُو رَحْمَتَكَ وَنَخْشَى عَذَابَكَ إِنَّ عَذَابَكَ بِالْكُفَّارِ مُلْحِقٌ,Allahumma inna nasta'eenuka wa nastaghfiruka wa nu'minu bika wa natawakkalu 'alayka wa nuthni 'alaykal-khayra kullahu nashkuruka wa la nakfuruka wa nakhla'u wa natruku man yafjuruka. Allahumma iyyaka na'budu wa laka nusalli wa nasjudu wa ilayka nas'a wa nahfidu narjoo rahmataka wa nakhsha 'adhabaka inna 'adhabaka bil-kuffari mulhiq.,"O Allah! We implore You for help and beg forgiveness of You and believe in You and rely on You and extol You and we are thankful to You and are not ungrateful to You and we alienate and forsake those who disobey You. O Allah! You alone do we worship and for You do we pray and prostrate and we betake to please You and present ourselves for the service in Your cause and we hope for Your mercy and fear Your chastisement. Undoubtedly, Your torment is going to overtake infidels.","হে আল্লাহ! আমরা তোমার সাহায্য প্রার্থনা করি, তোমার কাছে ক্ষমা চাই, তোমার প্রতি ঈমান রাখি, তোমার উপর ভরসা করি এবং সকল কল্যাণের জন্য তোমার প্রশংসা করি। আমরা তোমার কৃতজ্ঞ এবং অকৃতজ্ঞ নই। আমরা তাদের পরিত্যাগ করি যারা তোমার অবাধ্য। হে আল্লাহ! আমরা শুধু তোমারই ইবাদত করি, তোমার জন্যই নামাজ পড়ি ও সিজদা করি এবং তোমার দিকেই ধাবিত হই। আমরা তোমার রহমতের আশা করি এবং তোমার শাস্তিকে ভয় করি। নিশ্চয়ই তোমার শাস্তি কাফেরদের জন্য নির্ধারিত।",Salah,witr|prayer,Hadith,"Recited in Witr prayer, brings Allah's mercy"
Tasbih of Fatimah,اللَّهُ أَكْبَرُ (34 times) الْحَمْدُ لِلَّهِ (33 times) سُبْحَانَ اللَّهِ (33 times),Allahu Akbar (34 times) Alhamdulillah (33 times) SubhanAllah (33 times),Allah is the Greatest (34 times) All praise is for Allah (33 times) Glory be to Allah (33 times),আল্লাহু আকবার (৩৪ বার) আলহামদুলিল্লাহ (৩৩ বার) সুবহানাল্লাহ (৩৩ বার),Dhikr,after-prayer|tasbih,Hadith,"Recite after every Fardh prayer, better than a servant"
Morning Dua,أَصْبَحْنَا وَأَصْبَحَ الْمُلْكُ لِلَّهِ وَالْحَمْدُ لِلَّهِ لَا إِلَهَ إِلَّا اللَّهُ وَحْدَهُ لَا شَرِيكَ لَهُ لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ وَهُوَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ,Asbahna wa asbahal-mulku lillahi walhamdu lillahi la ilaha illallahu wahdahu la sharika lahu lahul-mulku wa lahul-hamdu wa huwa 'ala kulli shay'in qadir.,"We have entered a new day and with it all dominion is Allah's. Praise is to Allah. None has the right to be worshipped but Allah alone, Who has no partner. To Allah belongs the dominion, and to Him is the praise, and He is Able to do all things.","আমরা সকালে উপনীত হয়েছি এবং সাথে সাথে সমস্ত রাজত্ব আল্লাহর। সমস্ত প্রশংসা আল্লাহর। আল্লাহ ছাড়া কোন উপাস্য নেই, তিনি একক, তাঁর কোন শরীক নেই। রাজত্ব তাঁরই এবং প্রশংসা তাঁরই, এবং তিনি সব কিছুর উপর ক্ষমতাবান।",Daily,morning|protection,Hadith,"Recite in the morning for protection throughout the day"
Evening Dua,أَمْسَيْنَا وَأَمْسَى الْمُلْكُ لِلَّهِ وَالْحَمْدُ لِلَّهِ لَا إِلَهَ إِلَّا اللَّهُ وَحْدَهُ لَا شَرِيكَ لَهُ لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ وَهُوَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ,Amsayna wa amsal-mulku lillahi walhamdu lillahi la ilaha illallahu wahdahu la sharika lahu lahul-mulku wa lahul-hamdu wa huwa 'ala kulli shay'in qadir.,"We have entered the evening and with it all dominion is Allah's. Praise is to Allah. None has the right to be worshipped but Allah alone, Who has no partner. To Allah belongs the dominion, and to Him is the praise, and He is Able to do all things.","আমরা সন্ধ্যায় উপনীত হয়েছি এবং সাথে সাথে সমস্ত রাজত্ব আল্লাহর। সমস্ত প্রশংসা আল্লাহর। আল্লাহ ছাড়া কোন উপাস্য নেই, তিনি একক, তাঁর কোন শরীক নেই। রাজত্ব তাঁরই এবং প্রশংসা তাঁরই, এবং তিনি সব কিছুর উপর ক্ষমতাবান।",Daily,evening|protection,Hadith,"Recite in the evening for protection throughout the night"
Before Sleep Dua,بِاسْمِكَ اللَّهُمَّ أَمُوتُ وَأَحْيَا,Bismika Allahumma amutu wa ahya.,In Your name O Allah I die and I live.,তোমার নামে হে আল্লাহ আমি মরি এবং বাঁচি।,Daily,sleep|night,Hadith,"Recite before sleeping, protection during sleep"
Waking Up Dua,الْحَمْدُ لِلَّهِ الَّذِي أَحْيَانَا بَعْدَ مَا أَمَاتَنَا وَإِلَيْهِ النُّشُورُ,Alhamdu lillahil-ladhi ahyana ba'da ma amatana wa ilayhin-nushur.,All praise is for Allah who gave us life after having taken it from us and unto Him is the resurrection.,সমস্ত প্রশংসা আল্লাহর যিনি আমাদের মৃত্যুর পর জীবন দান করেছেন এবং তাঁর কাছেই পুনরুত্থান।,Daily,morning|waking,Hadith,"Recite upon waking up, gratitude for new day"
